airfoil,reynolds,max_CL,stall_angle,min_CD,max_CL_CD,best_alpha,CL_at_0,n_points,max_camber,max_camber_loc,max_thickness,max_thickness_loc,le_thickness,te_thickness,camber_at_25,camber_area
naca2408,150000,1.0772,9.0,0.01041,60.34666666666666,4.0,0.1938,19,0.01997,0.406,0.08001,0.297,0.06247,0.01933,0.0172,0.01332
naca2412,150000,1.3023,13.0,0.01156,59.67871485943775,6.0,0.3328,21,0.01997,0.406,0.11994,0.297,0.0937,0.02898,0.01723,0.01345
naca2415,150000,1.3397,15.0,0.01334,56.86891814539211,7.0,0.2263,21,0.01997,0.406,0.14992,0.297,0.11718,0.03618,0.01732,0.01354
naca2418,150000,1.2964,15.0,0.01449,53.61869747899159,7.0,0.2211,20,0.01997,0.406,0.1799,0.297,0.14066,0.04338,0.01733,0.01364
naca4412,150000,1.4615,15.0,0.01225,68.75787063537493,7.0,0.4878,21,0.03994,0.406,0.12014,0.297,0.0944,0.02928,0.0345,0.02683
naca4415,150000,1.3827,15.0,0.01399,62.36633139227104,7.0,0.5268,21,0.04009,0.406,0.14994,0.307,0.11806,0.03649,0.03462,0.0272
naca4418,150000,1.4557,14.0,0.01516,57.66171538092957,7.0,0.4422,20,0.03995,0.406,0.18012,0.297,0.14155,0.04387,0.03452,0.02726
s1020,150000,1.5161,10.0,0.01779,68.16597890875745,9.0,0.5561,21,0.05048,0.525,0.15091,0.337,0.10294,0.02988,0.0392,0.03546
s1046,150000,1.101,13.0,0.01529,47.56937307297019,8.0,-0.0,21,0.0,0.01,0.1699,0.307,0.12732,0.0242,0.0,0.0
s1048,150000,0.9994,13.0,0.01307,49.20196439533456,7.0,0.0,21,0.0,0.01,0.13968,0.277,0.10329,0.02096,0.0,0.0
s1210,150000,1.9853,15.0,0.01578,74.96847414880203,7.0,1.0452,20,0.07202,0.515,0.11998,0.218,0.10014,0.00725,0.05568,0.05172
s1221,150000,1.9241,13.0,0.01505,58.91033623910336,12.0,0.666,20,0.05401,0.525,0.12138,0.218,0.10088,0.00625,0.045,0.04164
s1223,150000,2.2926,12.0,0.01937,64.99209486166008,4.0,1.1858,21,0.0867,0.495,0.12138,0.198,0.10613,0.01116,0.07365,0.06402
s2027,150000,1.3525,12.0,0.01437,59.75421686746988,9.0,0.2689,21,0.02743,0.376,0.14502,0.297,0.10371,0.01944,0.02569,0.01872
sd2030,150000,1.1604,10.0,0.01125,66.08943089430893,5.0,0.1569,19,0.02248,0.455,0.08559,0.356,0.06449,0.02065,0.01946,0.01602
sd6060,150000,1.1229,11.0,0.01219,62.6044776119403,6.0,0.3408,19,0.01846,0.386,0.10362,0.337,0.07388,0.01807,0.0171,0.0118
sd6080,150000,1.3354,13.0,0.01165,72.87927695287281,7.0,0.4156,21,0.03742,0.406,0.09186,0.307,0.07082,0.01327,0.03282,0.02469
sd7003,150000,1.2,11.0,0.00925,51.77745664739884,5.0,0.1973,21,0.01457,0.337,0.08503,0.248,0.07189,0.01151,0.01391,0.01026
sd7037,150000,1.3208,13.0,0.01088,66.70149253731343,5.0,0.3699,21,0.03017,0.406,0.09199,0.287,0.07346,0.01537,0.0271,0.0212
sd7062,150000,1.6006,15.0,0.01324,60.94154164511122,7.0,0.4148,21,0.03968,0.386,0.13977,0.267,0.11223,0.01856,0.0371,0.02748
sd7080,150000,1.2539,12.0,0.01051,62.156716417910445,5.0,0.308,21,0.02483,0.396,0.09152,0.297,0.07286,0.01582,0.02268,0.01766
